Typ,Kapazität,Menge,Lagerort,Spannung
Schrumpfschlauch,3 mm x 45 mm,120,Schreibtisch-Schublade (Sortimentskasten),"Polyethylen, -55°C bis +125°C, Schrumpftemp. 84–120°C, 1kV isoliert"
Schrumpfschlauch,3.5 mm x 45 mm,100,Schreibtisch-Schublade (Sortimentskasten),"Polyethylen, -55°C bis +125°C, Schrumpftemp. 84–120°C, 1kV isoliert"
Schrumpfschlauch,4 mm x 45 mm,100,Schreibtisch-Schublade (Sortimentskasten),"Polyethylen, -55°C bis +125°C, Schrumpftemp. 84–120°C, 1kV isoliert"
Schrumpfschlauch,5 mm x 45 mm,80,Schreibtisch-Schublade (Sortimentskasten),"Polyethylen, -55°C bis +125°C, Schrumpftemp. 84–120°C, 1kV isoliert"
Schrumpfschlauch,6 mm x 45 mm,60,Schreibtisch-Schublade (Sortimentskasten),"Polyethylen, -55°C bis +125°C, Schrumpftemp. 84–120°C, 1kV isoliert"
Schrumpfschlauch,7 mm x 45 mm,60,Schreibtisch-Schublade (Sortimentskasten),"Polyethylen, -55°C bis +125°C, Schrumpftemp. 84–120°C, 1kV isoliert"
Schrumpfschlauch,10 mm x 45 mm,60,Schreibtisch-Schublade (Sortimentskasten),"Polyethylen, -55°C bis +125°C, Schrumpftemp. 84–120°C, 1kV isoliert"
Schrumpfschlauch,13 mm x 45 mm,60,Schreibtisch-Schublade (Sortimentskasten),"Polyethylen, -55°C bis +125°C, Schrumpftemp. 84–120°C, 1kV isoliert"
Breadboard Jumper Wire,extra lang (gelb),30,Schublade (Kiste),"Farbcodiert, geschätzt 10–50 Stück je Länge"
Breadboard Jumper Wire,sehr lang (rot),30,Schublade (Kiste),
Breadboard Jumper Wire,lang (grau),30,Schublade (Kiste),
Breadboard Jumper Wire,mittel-lang (orange),30,Schublade (Kiste),
Breadboard Jumper Wire,mittel (braun),30,Schublade (Kiste),
Breadboard Jumper Wire,mittel-kurz (blau),30,Schublade (Kiste),
Breadboard Jumper Wire,kurz-lang (rot),30,Schublade (Kiste),
Breadboard Jumper Wire,kurz-mittel (grün),30,Schublade (Kiste),
Breadboard Jumper Wire,kurz (gelb),30,Schublade (Kiste),
Breadboard Jumper Wire,extra-kurz (orange),30,Schublade (Kiste),
Breadboard Jumper Wire,mini (grau),30,Schublade (Kiste),
Breadboard Jumper Wire,ultra-kurz (blau),30,Schublade (Kiste),
Breadboard Jumper Wire,kleinste (grün),30,Schublade (Kiste),
Drahtrolle (20 AWG),rot,1,Schublade (Kiste),"Kunststoffisolation, 1 Kiste à 6 Farben"
Drahtrolle (20 AWG),grün,1,Schublade (Kiste),
Drahtrolle (20 AWG),blau,1,Schublade (Kiste),
Drahtrolle (20 AWG),gelb,1,Schublade (Kiste),
Drahtrolle (20 AWG),schwarz,1,Schublade (Kiste),
Drahtrolle (20 AWG),weiß,1,Schublade (Kiste),
Drahtrolle (vermutlich 18 AWG),rot,1,Schublade (Kiste),"Kunststoffisolation, 1 Kiste à 6 Farben"
Drahtrolle (vermutlich 18 AWG),grün,1,Schublade (Kiste),
Drahtrolle (vermutlich 18 AWG),blau,1,Schublade (Kiste),
Drahtrolle (vermutlich 18 AWG),gelb,1,Schublade (Kiste),
Drahtrolle (vermutlich 18 AWG),schwarz,1,Schublade (Kiste),
Drahtrolle (vermutlich 18 AWG),weiß,1,Schublade (Kiste),
Wire-Wrapping-Draht (30 AWG),schwarz,1,Rolle,
Wire-Wrapping-Draht (30 AWG),braun,1,Rolle,
Signaldraht (flexibel),gelb,1,Rolle,
Signaldraht (flexibel),grün,1,Rolle,
Signaldraht (flexibel),schwarz,1,Rolle,
Signaldraht (flexibel),rot,1,Rolle,
Signaldraht (flexibel),blau,1,Rolle,
Signaldraht (dünn/flexibel),gelb,1,Rolle,
Signaldraht (dünn/flexibel),weiß,1,Rolle,
Signaldraht (dünn/flexibel),rot,1,Rolle,
Signaldraht (dünn/flexibel),schwarz,1,Rolle,
Signaldraht (dünn/flexibel),grün,1,Rolle,
Signaldraht (dünn/flexibel),braun,1,Rolle,
Signaldraht (dünn/flexibel),hellblau,1,Rolle,
Vollkern-Draht,rot,1,Rolle,
Vollkern-Draht,blau,1,Rolle,
Vollkern-Draht,gelb,1,Rolle,
Vollkern-Draht,schwarz,1,Rolle,
Vollkern-Draht,braun,1,Rolle,
Vollkern-Draht,grün,1,Rolle,
Vollkern-Draht (dicker),weiß,1,Rolle,
Vollkern-Draht (dicker),schwarz,1,Rolle,
Vollkern-Draht (dicker),gelb,1,Rolle,
Vollkern-Draht (dicker),rot,1,Rolle,
Kupferlackdraht,"unisoliert, beschichtet",3,Rolle,"fein, lackisoliert"
Haushaltsstromdraht (Vollkern),schwarz,1,Rolle,
Haushaltsstromdraht (Vollkern),blau,1,Rolle,
Haushaltsstromdraht (Litze),rot,1,Rolle,
Klingeldraht,weiß,1,Rolle,
Blumenbindedraht,diverse,5,Rolle,"flexibel, beschichtet"
Metall-Draht (unisoliert),unbekannter Durchmesser,1,Rolle,"dicker, universell"
"Signaldraht (Litze, dünn)",violett,1,Rolle,
"Signaldraht (Litze, dünn)",schwarz,1,Rolle,
"Signaldraht (Litze, dünn)",weiß,1,Rolle,
"Signaldraht (Litze, dünn)",rot,1,Rolle,
"Signaldraht (Litze, dünn)",grün,1,Rolle,
"Signaldraht (Litze, dünn)",orange,1,Rolle,
"Signaldraht (Litze, dünn)",grau,1,Rolle,
"Signaldraht (Litze, dünn)",blau,1,Rolle,
Kupferband,"5 cm breit, selbstklebend",1,Rolle,"einseitig leitfähig, haftend"
Flachbandkabel,"mehrpolig, farbcodiert",1,Rolle,"mehradrig, zur Datenübertragung"
Stromversorgungskabel (2-adrig),rot/schwarz,1,Rolle,"für LED-Leuchten, Plus/Minus gekennzeichnet"
Datenübertragungskabel (6-adrig),rund,1,Rolle,"für Datenleitungen, rund, geschirmt möglich"
USB-Kabel (Rohware),"4-adrig, 10 m",1,Rolle,"weiß, ohne Stecker, vermutlich Daten + Strom"
